Keyword,Match Type,Level
gratis,Phrase,Account
free,Phrase,Account
curso,Phrase,Account
estudiante,Phrase,Account
universidad,Phrase,Account
tfg,Phrase,Account
código abierto,Phrase,Account
codigo abierto,Phrase,Account
open source,Phrase,Account
freelance,Phrase,Account
freelancer,Phrase,Account
rrhh,Phrase,Account
recursos humanos,Phrase,Account
nóminas,Phrase,Account
nomina,Phrase,Account
inventario,Phrase,Account
empleo,Phrase,Account
vacante,Phrase,Account
sueldo,Phrase,Account
trabajo,Phrase,Account
crm,Phrase,Account
pipeline,Phrase,Account
hubspot gratis,Phrase,Account
pipedrive gratis,Phrase,Account
leads,Phrase,Account
prospección,Phrase,Account
prospeccion,Phrase,Account
facturación,Phrase,Account
facturacion,Phrase,Account
contabilidad,Phrase,Account
erp,Phrase,Account
contratar agencia,Phrase,Account
mejor agencia,Phrase,Account
agencia de marketing digital,Phrase,Account
agencia digital barata,Phrase,Account
ejemplo de proyecto,Phrase,Account
qué es un proyecto,Phrase,Account
que es un proyecto,Phrase,Account
define proyecto,Phrase,Account
objetivo de proyectos,Phrase,Account
gestión de proyectos gratis,Phrase,Account
gestion de proyectos gratis,Phrase,Account
asana,Phrase,Account
trello,Phrase,Account
notion,Phrase,Account
monday,Phrase,Account
jira,Phrase,Account
